,VideoID,Date/Time,Title,Description,Tags,Duration,Definition,Caption,Views,Likes,Comments,Date,Time,TotalDuration(sec),LikeRatio,CommentRatio,Month_Year,DayOfWeek,Engagement Rate
0,L5l_X4TXrZ8,2024-05-19 11:45:01+00:00,"How To AVOID Dating ""Players""","►► Get Vulnerable Stories, Real Insights, and Practical Tools Delivered Straight to Your Inbox Every Friday. 
Sign up Now For My Free Weekly Newsletter, The 3 Relationships at . . .
→ http://www.The3Relationships.com

▼
Don’t Miss Out! Subscribe to my YouTube channel now.
I post new love life advice for you every weekend.

▼
Most people want to avoid players in dating . . . yet why do so many end up in relationships (or situationships) with them? 

Sadly, it’s all too common to get seduced into a roller coaster romance where we feel amazing chemistry but never know where we stand with someone.

Today I’m giving you the best advice I’ve given on this topic through 7 clips that will help you avoid players and find the right person. If you’re ready to rewire your brain and start attracting someone who says “yes” to a relationship, this is for you.

►► Order My New Book, ""Love Life"" at → http://www.LoveLifeBook.com

►► FREE Video Training: “Dating With Results” → http://www.DatingWithResults.com


▼ Get My Latest Dating Tips and Connect With Me… ▼

Blog → https://www.matthewhussey.com/blog/

Facebook → https://facebook.com/CoachMatthewHussey

Instagram → https://www.instagram.com/thematthewhussey

Twitter → https://twitter.com/matthewhussey

▼ Chapters ▼
0:00 – 2:39 – Wrapped Up in Chemistry 
2:39 – 5:35 – “It Feels Like the Holy Grail”
5:35 – 8:33 – Where We Get in Trouble (Feat. Ali Abdaal)
8:33 – 10:40 – The Qualities That Need to Show Up
10:40 – 14:07 – Is It Really an Amazing Connection?
14:07 – 15:08 – It’s Not a Competition
15:08 – 19:52 – Do We Have a Type? (Feat. Marie Forleo)

▼ Connect with Ali Abdaal ▼

Website → https://aliabdaal.com

Instagram → https://www.instagram.com/aliabdaal/

Youtube → @aliabdaal 

▼ Connect with Marie Forleo ▼

Website → https://www.marieforleo.com

Instagram → https://www.instagram.com/marieforleo/

Youtube → @marieforleo","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT19M53S,hd,false,24224.0,890.0,58.0,2024-05-19,11:45:01,1193.0,36.74042272126817,2.3943196829590487,2024-05,Sunday,3.913474240422721
1,JgKATVJUY7A,2024-05-15 17:34:12+00:00,Stop These Insecure Dating Behaviors! - w/ Sabrina Zohar,"►► Get Vulnerable Stories, Real Insights, and Practical Tools Delivered Straight to Your Inbox Every Friday. 
Sign up Now For My Free Weekly Newsletter, The 3 Relationships at . . .
→ http://www.The3Relationships.com

▼
Don’t Miss Out! Subscribe to my YouTube channel now.
I post new love life advice for you every weekend.


►► Order My New Book, ""Love Life"" at → http://www.LoveLifeBook.com

►► FREE Video Training: “Dating With Results” → http://www.DatingWithResults.com


▼ Get My Latest Dating Tips and Connect With Me… ▼

Blog → https://www.matthewhussey.com/blog/

Facebook → https://facebook.com/CoachMatthewHussey

Instagram → https://www.instagram.com/thematthewhussey

Twitter → https://twitter.com/matthewhussey

▼ Connect with Sabrina ▼

Website → https://www.sabrinazohar.com

TikTok → https://www.tiktok.com/@sabrina.zohar

Instagram → https://www.instagram.com/sabrina.zohar/

Youtube → @Do.the.work.podcast","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT54M46S,hd,false,19412.0,701.0,36.0,2024-05-15,17:34:12,3286.0,36.11168349474552,1.854522975479085,2024-05,Wednesday,3.7966206470224604
2,nHqyyt66dQk,2024-05-12 12:05:06+00:00,THIS Is the Most Dangerous Moment in Dating... Here's Why,"►► Get Vulnerable Stories, Real Insights and Practical Tools Delivered Straight to Your Inbox Every Friday.
Sign Up Now For My Weekly Newsletter, The 3 Relationships.com
→ http://www.The3Relationships.com

▼
Don’t Miss Out! Subscribe to my YouTube channel now.
I post new love life advice for you every weekend.


►► Pre-Order My New Book, ""Love Life"" at → http://www.LoveLifeBook.com

►► FREE Video Training: “Dating With Results” → http://www.DatingWithResults.com


▼ Get My Latest Dating Tips and Connect With Me… ▼

Blog → https://www.matthewhussey.com/blog/

Facebook → https://facebook.com/CoachMatthewHussey

Instagram → https://www.instagram.com/thematthewhussey

Twitter → https://twitter.com/matthewhussey

▼ Chapters ▼

0:00 – 0:26 – Introduction
0:26 – 2:02 – A Scarcity Mindset
2:02 – 3:11 – THIS Is What Makes Us Stand Out in Dating
3:11 – 4:23 – The Anxious Person’s “Fawn Response”
4:23 – 5:43 – How an Avoidant Person Reacts  
5:43 – 7:05 – How an Anxious Person Responds
7:05 – 9:30 – The Secure Person’s Response
9:30 – 10:04 – The Person Who Wants an Anxious Fawner
10:04 – 11:12 – How About You?
11:12 – 12:49 – The 3 Relationships","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT12M50S,hd,false,64245.0,2580.0,197.0,2024-05-12,12:05:06,770.0,40.158767219238854,3.066386489220951,2024-05,Sunday,4.32251537084598
3,Xvk_v7uYgPw,2024-05-05 11:45:01+00:00,Afraid You'll Never Find Love? You NEED to Hear THIS,"►► Transform Your Relationship with Life in 6 Magical Days.
Learn More About My Retreat at. . . 
→ http://www.MHRetreat.com

▼
Don’t Miss Out! Subscribe to my YouTube channel now.
I post new love life advice for you every weekend.

▼
Over the past week, so many of you have expressed how much Angela’s story in my new book, Love Life, touched you deeply (in the chapter titled “Have Hard Conversations”). So this week I thought I’d share the actual interview with her from my Live Retreat.

I’ve found that one of the biggest confidence-killers in dating happens when we dwell on the reasons why someone may not be attracted to us. Our looks, our age, our past, even the fact that we have kids—the fear of rejection for who we are can stop us before we get started.
 
Angela’s story is one of the most impactful I’ve heard on confidence and insecurity, and I think you’ll love hearing it in her own words.


►► Order My New Book, ""Love Life"" at → http://www.LoveLifeBook.com

►► FREE Video Training: “Dating With Results” → http://www.DatingWithResults.com


▼ Get My Latest Dating Tips and Connect With Me… ▼

Blog → https://www.matthewhussey.com/blog/

Facebook → https://facebook.com/CoachMatthewHussey

Instagram → https://www.instagram.com/thematthewhussey

Twitter → https://twitter.com/matthewhussey

▼ Chapters ▼
0:00 – 1:54 – A Massive Thank You
1:54 – 6:56 – “My Self-Worth Was on the Ground”
6:56 – 10:22 – “And What . . . ?”
10:22 – 18:38 – The Phone Call
18:38 – 21:18 – “What Was Holding Me Back”
21:18 – 25:37 – “It Was Life-Changing”
25:37 – 27:29 – Don’t Miss the Live Retreat","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT27M47S,hd,false,50631.0,2016.0,145.0,2024-05-05,11:45:01,1667.0,39.817503110742436,2.863858110643677,2024-05,Sunday,4.2681361221386105
4,10CsOVtc0EE,2024-05-03 16:03:14+00:00,Answering Your Questions LIVE,"Stopping by to say hi, answer a few questions and let you know about something exciting coming up.

My ""Find Your Person"" event is happening this Saturday, May 4th at 10am PT / 1pm ET / 6pm UK. This exclusive virtual event is only open to those who have picked up their copy of Love Life, so if you haven't gotten yours yet, don't wait! 

Get your copy now at https://LoveLifeBook.com and on the same page you can register your purchase using your order number and redeem your free ticket to the event, as well as be entered into the Love Life Giveaway! You could win a 1:1 with me, tickets to my retreat, your own Love Life sweater and much more. I can't wait to see you there.

For any assistance please connect with my team at support@matthewhussey.com",[],PT37M19S,hd,false,10687.0,183.0,41.0,2024-05-03,16:03:14,2239.0,17.123608122017405,3.836436792364555,2024-05,Friday,2.096004491438196
5,RpXzWZIZA-s,2024-05-02 17:55:07+00:00,Answering Your Questions LIVE,"Stopping by to say hi, answer a few questions and let you know about something exciting coming up.

My ""Find Your Person"" event is happening this Saturday, May 4th at 10am PT / 1pm ET / 6pm UK. This exclusive virtual event is only open to those who have picked up their copy of Love Life, so if you haven't gotten yours yet, don't wait! 

Get your copy now at https://LoveLifeBook.com and on the same page you can register your purchase using your order number and redeem your free ticket to the event, as well as be entered into the Love Life Giveaway! You could win a 1:1 with me, tickets to my retreat, your own Love Life sweater and much more. I can't wait to see you there.

For any assistance please connect with my team at support@matthewhussey.com",[],PT30M7S,hd,false,15883.0,288.0,70.0,2024-05-02,17:55:07,1807.0,18.13259459799786,4.407227853680035,2024-05,Thursday,2.2539822451677893
6,FRZxv1yUghI,2024-05-01 19:44:17+00:00,Answering Your Questions LIVE,"Answering Your Questions LIVE

My “Find Your Person” event is happening this Saturday, May 4th at 10am PT / 1pm ET / 6pm UK. This exclusive virtual event is only open to those who have picked up their copy of Love Life, so if you haven’t gotten yours yet, don’t wait! 

Get your copy now at LoveLifeBook.com and on the same page you can register your purchase using your order number and redeem your free ticket to the event, as well as be entered into the Love Life Giveaway! You could win a 1:1 with me, tickets to my retreat, your own Love Life sweater and much more. I can’t wait to see you there.

For any assistance please connect with my team at support@matthewhussey.com",[],PT50M18S,hd,false,14363.0,160.0,21.0,2024-05-01,19:44:17,3018.0,11.139734038849824,1.4620900925990392,2024-05,Wednesday,1.2601824131448862
7,x3kP0-AXhio,2024-05-01 18:06:04+00:00,How to Attract and Keep the Relationship You Really Want,"►► Transform Your Relationship with Yourself, Others and Life Itself.
Join Me For 6 Days of Coaching Immersion. 
To Learn How go to. . .
→ http://www.MHRetreat.com

▼
Don’t Miss Out! Subscribe to my YouTube channel now.
I post new love life advice for you every weekend.


►► Pre-Order My New Book, ""Love Life"" at → http://www.LoveLifeBook.com

►► FREE Video Training: “Dating With Results” → http://www.DatingWithResults.com


▼ Get My Latest Dating Tips and Connect With Me… ▼

Blog → https://www.matthewhussey.com/blog/

Facebook → https://facebook.com/CoachMatthewHussey

Instagram → https://www.instagram.com/thematthewhussey

Twitter → https://twitter.com/matthewhussey

▼ Connect With Lisa ▼

Read Radical Confidence Now → https://radicalconfidence.com/

Facebook → https://www.facebook.com/lisabilyeu/

Instagram → https://www.instagram.com/lisabilyeu/

Youtube → https://www.youtube.com/@LisaBilyeu/

TikTok → https://www.tiktok.com/@lisa_bilyeu/","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT49M56S,hd,false,37253.0,1276.0,75.0,2024-05-01,18:06:04,2996.0,34.252274984565,2.013260676992457,2024-05,Wednesday,3.6265535661557458
8,KANehpUjFak,2024-04-29 20:30:17+00:00,Stopping By To Go LIVE,"My ""Find Your Person"" event is happening this Saturday, May 4th at 10am PT / 1pm ET / 6pm UK. This exclusive virtual event is only open to those who have picked up their copy of Love Life, so if you haven't gotten yours yet, don't wait! 

Get your copy now at https://LoveLifeBook.com and on the same page you can register your purchase using your order number and redeem your free ticket to the event, as well as be entered into the Love Life Giveaway! You could win a 1:1 with me, tickets to my retreat, your own Love Life sweater and much more. I can't wait to see you there.

For any assistance please connect with my team at support@matthewhussey.com",[],PT1H2M58S,hd,false,13337.0,140.0,28.0,2024-04-29,20:30:17,3778.0,10.497113293844192,2.0994226587688387,2024-04,Monday,1.259653595261303
9,aS--Q2UpdPw,2024-04-28 00:12:57+00:00,Answering Your Questions LIVE,"Today is the LAST day to get the full bonus package when you order your copy of Love Life at https://LoveLifeBook.com . Only until midnight PT tonight you'll get a free copy of the Happiness after Heartbreak series and the Love Myths Film to accompany your Love Life book experience. You'll also be entered into the Love Life Giveaway where you could win a 1:1 with me, tickets to my retreat, your very own Love Life sweater and so much more! 

Don't miss your chance to get these incredible bonuses by picking up your copy of my new book at https://LoveLifeBook.com",[],PT1H53M29S,hd,false,20612.0,143.0,14.0,2024-04-28,00:12:57,6809.0,6.937706190568601,0.6792159906850379,2024-04,Sunday,0.7616922181253639
