,video_id,comments
0,uxML_ubB-qc,[]
1,5Y0nNvCkSrI,"['I would take been need by a unemotional goldfish as a Win.', 'This feels like something I needed to hear🤔', '“Being choo-sen”']"
2,UzmqwtC4TU8,"[""You know what? You're right about this."", 'Until u come across a narcissistic battered emotional damaged women she will messss your life up JS', 'Thank u beautiful lady. Success always! Dr D']"
3,ojDaIZLIcz0,['Hahaha… you are projecting the lack of those traits on men??? 😂😂😂']
4,ybWnOmrEGN8,"['“Sorry?” These bitches have been doing this to me for YEARS already with the cold disregard, the multiple personalities, the childish impersonation of each other and the mean spirited refusal to answer basic questions. NOBODY who I know personally would ever perpetrate this kind of bullshit much less for years and years as a Drill, a simulation, or a “training exercise.” The people who I know are equally if not more infuriated by it than I am. The only logical deduction is that at least one of them is willfully disrespecting for a piece of garbage.\n\nI’m tired of it. I want to meet at least man full contact bare knuckles over it.', ""Always funny when a woman gives advice to men. Disregards everything a man perceives and feels since your advice is centered around a woman's perspective, asking men to meet a woman's standard, and having the man conform to women. It's manipulation for men to please women more since women don't genuinely care about men and only what they can provide her in status, validation emotionally physically, and of course financially."", 'She’s waaaaaaay too bias to be giving out constructive advice.', 'Joined emo band octopus octopussy have me screaming deprived', ""😢 I am presently going through tough love with my mum for more than two decades now...I wish she wasn't the one.Moved out just because of her."", ""This is an odd subject for me, i grew uo with my dad who was not lovey dovey, my mom was bery young and not nurturing at all and we dont really mesh till this day. i dont really even care about being loved any more its a lot of work and if doesn't work you're right back at 1 who has the time for that, im very self aware and emotionally intelligent i dont have time for the could be i love myself 🤷🏾\u200d♂️"", 'THE BEST  THING A MOTHER COULD DO FOR HER SON IS TELL HIM TO STAY  AWAY FROM MONEY HUNGRY WOMEN.', 'My mother did a great job teaching me about reality.\nCheated on my dad turned into a prostitute because the money is all that matters to women. Died a drug attic because drugs are more important than kids\nShe showed me the real world not some pretend fantasy land where all you women are princesses..', ""I believe that is a big roll. A lot of us men out here didn't feel love by our mother but it was just her responsibility to raise us, so growing up trying to date we never experience what real love is besides what the move shows and that what we can put into our arsenal of things to show a woman. But feeling love by a significant other is difficult if you have never seen or felt what it actually is. Shout to the sons and mother who do have bound because most of the men, maybe 60 to 75% probably only feel that real love from their kids, if they see them, you know what I mean. I don't know how your videos popped up over the last few weeks but good advice always comes in handy no matter where it comes."", '10:05\n\nSame thing applies to a woman who sleeps around as well .']"
5,ajIQ5KngR50,"[""At this point in my life I don't want a woman in my life. Women seem to deal way to much with their emotions."", 'they dont miss you, they just go to someone else  where they find attention.', 'This sounds really good but in my experience she DOES NOT CARE women fo not like restriction boundaries and ultimatums', 'The best way to get someone elses attention is to remove yours...', 'Thank you for putting it into perspective for me', 'This comes naturally for me', 'Cool 😎']"
6,oFWA_RZVw_8,"['A high woman? 😅', ""Don't simp guys get your money up"", ""A high woman? Explain to me what your definition of a high woman is? High value as in traditional, quiet, takes care of her man and only her man, I ask because it seems today's young women think they're high value based on how high their insta followers count is and they think they are equal to men."", 'Chivalry has never been dead to me. Some people in the world only have respect for certain people like some stranger girl or men, and old folks, but if thats not who you are as a person inside then you will never be. I tell my fiancee all the time, stop picking and choosing. I dont let her carry nothing in the house after a long day of work. But she does carry her own pocket book and purse 😂', 'You are  well raised   and you appreciate', 'How many women  appreciate  gentle men or bad boys', 'What a high value women?', ""Very true chivalry is not fully dead that's a woman must appreciate it and respect it and not read a man to Riot Act. One problem if you're a man with medical conditions and limitations on lifting chivalry is limited Apollonia  informative  video"", ""Well I would say Chivalry is also when women themselves insist on carrying some heavy bags, and being a man I don't force her from doing otherwise, after asking or insisting once or twice. That's equality. The man making himself available when it's too much for the woman to carry/handle and let them do their thing when it's not too much for them. Actually it goes both ways.""]"
7,v7WlBN9dxfs,"['Arriving at all would be nice', 'BS', ""Wait.  ... *MY* being punctual shows respect, but *HER* being consistently late is okay, as long as she's not consistently more than 15 minutes late?"", ""No it doesn't lol this is just your preference""]"
8,NVs-UlITUQY,"['She is absolutely right. Doomscrolling absolutely fucks you up.', 'Meta is metastasized...', 'Social media makes you unproductive uncles if educates you to being on your purpose and better your life  like this short', 'Basically,  have an active life outside of social media, lol .❤😂 love to all who need to hear this']"
9,jYEel3Qt_kc,"[""This is valid.  I've spent decades trying to fill an empty space with lots of women all over the country.  I've always have had a chaotic professional life... lots of travel while maintaining relationships via the phone or social media.  This turned me into a Love Avoidant.  I could never get hurt as they came and went.  It wasn't until recently that I met somebody who has stuck it out with me while I address these issues that have been working perfectly fine for 47 years.  I had no idea how unhealthy it was."", 'He would Vent. “Because they didn’t respect me” or something  to that effect.', 'No I never heard him say and nobody told me anything about it but I can still feel it.  She cuts hair somewhere in NY.', '“How do you know?” Because I can feel it. I even know his name.', 'There’s a certain woman in particular in NY who loves it when  I say that.  It reminds her of somebody else.', 'Why did they do that? Because they DIDN’T “respect” me. That’s why and they had the God damn fucking Gaul  to arrive at the Biased Conclusion in honor of a Piece of Shit who went around saying it about me too that you have to be a Police Officer just to be morally or legally entitled to do certain things in this world and YOU DO NOT.', 'It is a serious matter. It’s something called ☝🏼PSYCHIATRIC SLANDER because if I really believed that I would have to be completely out of touch with touch with Reality.  What if I went into Jail believing that about myself?🤣', '☝🏼They believed or claimed to believe that I thought that I could convince women in South Florida with very broad personal and professional Social Circles that I’m a Police Officer, leave the area and they weren’t gonna find out the truth.🤣', 'It’s always a positive  thing when we know our place in the world.', 'From what I understand, one of the things that certain individuals within the Democratic Party went around saying about me is that I go around impersonating Police Officers. I never told anybody that I was a Cop. I’m an EX CON with a Security Background.🤣']"
