,video_id,comments
0,L5l_X4TXrZ8,"['5:37 Would he give MEN the same advice???\nI am all about giving men I am not instantly attracted to a chance. But when it’s ALWAYS women and NOT men who are given that advice. And notice he said “let’s give other GUYS a chance.” There is a double standard. It’s not right.', 'The key for a woman if a guy gets nervous around you gets social anxiety he probably wants you to be the one, or he’s crazy 🤣 but if you use sex as a way to keep his interest in a relationship before a genuine connection and bonding on a mental level he will think that being physical will be the highlight of the relationship.  Granted you could have sex and he might be so attracted to you physically that he wants to call it quits on looking for another mate. There’s a couple factors some people are players and some people are hurting from previous relationships and are players of the moment to numb their pain, so you could just have great or bad timing.', 'Men need to mean what they say and say what they mean. Dithering is not confident...', 'Truth is you can’t avoid a player. That risk just comes with men of a certain level of confidence & access. I believe Matthew is being genuine and these tips may help a bit, but a true player will always figure out a way. \n\nThe only way to avoid being played is to not play at all(ie, avoid someone you suspect or avoid dating all together). I think this is why women go on “healing journeys” until they’re ready for the risk…..but the very nature of dating requires you to take risk. You have to have the heart and strength to keep trying despite heart break.', ""Admiration ..level one \n\n\nMutual attraction (chemistry, connection..... something that draws you together) level 2\n\nCommitment (if you are willing to commit to a relationship;is that person into it too?)\n\n\nNOTE : Its bad to value level 2 and not put importance to level 3. You needn't lower the bar of level 3.\n\nAttributes to determine if someone should walk through the door. \n\nIt's not want we want but what our soul want should be more important to us.\n\nFor a relationship to move on perfectly  , you need :\nConnection \nIntention\nInvestment \n\n\nA relationship that is extraordinary is not found but its built; and its built by two people. \n\n\nWhen dating the right person \nDesire to be expressive\nSense of humour \nMy heart \n\nThe physical attraction doesn't last but choosing and loving someone for who they are.\n\nIt's about"", 'Ah Matt you are wrong on this one. I know many people who have great character.  But i dont want to be in  relationahip with them. Chemistry/ Atraction is the difference between a frienship and a romantic partner.', 'Are correlative with peter pan gamers 😅', 'I’m really liking these new clips with your brother!', ""Most men are not players. It's actually the other way around. Fár women than men are players, but yall don't even realize this.\nBecause most women don't find like 90-95% of men even attractive in the first place. They are the ones who talk to/entertain multiple guys at the same time, they are the ones who are serial daters, go on multiple dates a week."", 'This video was just amazing❤ as always! Thank you Matthew🙏☺️']"
1,JgKATVJUY7A,"['Sabrina❤', '40 minutes was key for me', 'I don\'t like the way Matt says ""her"" or ""she"". Also don\'t like that he calls her complaining.', 'This was a remarkable interview. I felt like I related to her quite a bit.', 'Hi Matthew, thank you for this video. There’s a particular topic I don’t think you’ve covered that I wanted to seek advice on. What if you genuinely just don’t want to put in the effort to date? Is it ok to just fully let go and take a break? Sometimes I worry that I won’t come back from it but I genuinely don’t have the desire to date rn. Thank you 🙏', 'After plenty of relationship struggles, my biggest hurdle is what you talk about at the 28 minute mark. I was just talking to my friends about how puzzling it is to determine where my needs, wants, and desires eclipse or conflict with my partners’ and vice versa. I fear it will be a lifelong dissatisfying struggle and it makes me think I am not really able to have a healthy relationship.', 'Great conversation! Learnt a lot from it, thank you 🙏', 'Thanks Audrey - for being a gentle, kind & sweet host. Sabrina has a very hard & strong personality - I am not sure about her advice or views on relationships- as it’s based on her own projections of her own upbringing. It works for Sabrina  now - because she is in a safe relationship with a partner that seems to have a huge bandwidth for her. But not all partner can hold up so long like this.', ""❤ wowwy...Brand-New to channel...too much all @ once! Lol.. it's xtrodinary to verbally diagram how the psyche jumps from protective mechanism to inseting/finding a hole/break to let something else guide you... to unburden yr psyche.. I'll have to come back to the video.\n\nYouTube has literally been my guide to self-help."", 'Thank you!🤍']"
2,ZQ13ZgSJwic,"['Experienced. Absolute truth!!', 'Absolutely true , never say you’re fine if you’re not 💕', 'I needed this !', 'When I did a counselling course, we weren’t allowed to use the f word in relation to how we felt ❤', 'Yep', 'So true!!!❤', 'I allow myself one day to feel my emotions in my body and work out what I can do physically,mentally, and spiritually about whatever has thrown me off, knowing that tomorrow is a new day to start over again ❤', '❤', 'Great Job Matthew. Thanks So much', 'The relationship with life ❌\nThe relationship with Our Lord Allah✅\n\nCause life is temporary']"
3,nHqyyt66dQk,"['Matthew is my favorite name go figure!!! 🤦\u200d♀️🤦\u200d♀️🤦\u200d♀️. He also ghosted me', 'Yes Matthew, I\'ve had many guys literally get a ""free lunch from me!  I wanted to show them I\'m a good, quality guy, willing to invest.  They took the attention, then began to ""breadcrumb"" me.  I\'ve been a ""narcissist magnet"" for nearly 3 decades. It\'s hurtful and frustrating.  I wonder if, when or how I\'ll ever find true love....🤔🥴🙏 Thank you for your thoughtful and compassionate videos!! 🫂', 'This is the scary part becsue then they leave! I don’t even get attached anymore. I’m good at guarding my heart', 'Im worried now i seem to be at fault in all of these.. i guess i just need to be with someone im really not that interested in so i can have that taken or leave him attitude', 'Thanks you.', 'Ok, but what if you are expressing your needs.', 'I’m in a similar situation, I was talking to a gentleman last year we set a time he wanted me to come to meet him in person. I tried to share with him I would be willing to meet him half way he never would then as the time came for me to go to see(meet in person for the very first time he became ill. Then just flat ghosted me for the whole fall and winter. Here we are present time he’s back chatting and asking for me to come to see him again.?I’m extremely hesitant for good reasons. There’s still a part of me that wants to see where this could go.am I blindly setting myself up for rejection again any suggestions ??', 'I agree that it is not their other person’s job to educate us on our worth but if we have to educate them on our worth doesn’t that mean they are not someone we want in the first place? Like who wants someone that you gotta teach to respect you? Shouldn’t they be decent enough to not try to push your boundaries? Just wondering..', 'That’s me!', 'I’ve been through this before with someone who had an anxious attachment. It was difficult because I couldn’t trust her to go with me everywhere in life and attack life with me. I also determined that she would not be honest with me about my faults or help me with my faults because she didn’t want to work on her own faults. I am not the one to take advantage of someone’s attention so I had to break it off in good conscience because I believed she needed to mature more in her honesty of herself and her surroundings. It is hard though because no matter the reason for the break up, I still want her. 😢']"
4,l_Cjd2ya5R0,"[""it's mostly a female pattern.  women like players the way men like fast food.  it looks good in the ads and tastes good but it leaves you feeling empty and gives you the sh*ts. nobody wants to put the effort into making the healthy meal they want the easy way out and will complain about it only to repeat the same mistake tomorrow."", 'When this familarity is here - we want to heal what was not healed in childhood.', 'Repetition compulsion', 'He did give me everything I wanted from the beginning- it was love bombing.', 'It’s so sad and heartbreaking 💔 wasted my prime years. God forgive me', ""When you see it, say, ah, that's familiar, and walk away."", 'This is deep & so true', ""I was raised by a narcissistic violent father who only responded well to me when I got everything perfectly (i.e. he got his own way all the time), If I made any 'mistakes' at all (Like saying no, challenging him etc) I would be punished badly, hit, yelled at, sworn at and even disowned (even if it was his fault or the expectation was unreasonable). I now recognise that I am an anxious perfectionist that has panic attacks when I feel ignored (even if someone takes a long time to reply to my texts) or disrespected, my brain assumes I've done something 'wrong' again and I'm about to be punished again. I start looking for what I did wrong and how I can stop the punishment."", 'How do we stop this?', 'I’ve been attracted to men all my life who treated me like a worthless piece of Garbo cuz my dad molested me growing up and I hated myself for it']"
5,rMSIPaN25vI,"['I can relate.  I’d much rather have someone break up with me than hurt them.', 'Wow, new perspective', 'Exactly my situation but without feeling any guilt. I just feel as if i‘m broken, and not able to find „true love“. I‘m feling lonely', 'This is exactly what i needed to hear', 'Terrible therapist. Feeling guilt after breaking up with someone is a REAL thing. Especially if youre not a narcissist.', ""If you are breaking up with someone, then they are better off without you. Guilt over breaking up with someone is an ego thing. It's a belief that you are amazing and taking that away from the other person."", '✨✨✨💛✨✨✨ so true', 'Chan 100%', 'Have some tips for those who feel exacly like that at the moment?', 'Very interesting']"
6,v-7h8fxhTFQ,"['When one person insists on something, it is only for that person, they are not considering you.', 'I  agree 💯. Run from people who disregard and devalue. Spend time together, see if you can build together outside of yourselves.', 'Look fir a healthy individual.', ""You inspire me to try again, because it isn't easy to start a new architecture together."", 'Great advice. Haven’t dated in a long time. I’m ready to get back out there and definitely appreciate the information and how to be a better partner.', 'So smple', 'Thank you Mathew ‼️‼️', 'Sooo true ! That’s why there is sooo many single people this days !!! Everyone wants to build alone ! No investment and then after the first fight , the run away !! Nothing to loose, there was nothing built within the relationship (together) !!! Well said ! Love your content!!!', 'A much appreciated  with these program Agree!Mathew H. Inspiring of your thoughtfulness.thanks', 'I totally agree. You are 💯 correct.']"
7,Xvk_v7uYgPw,"['🤍🤍🤍', 'Talk about yourself and sell your business endlessly.', 'Watching all the way from kenya', 'Thank you so much Mathew, this so powerful and emotional, I believe in love, and i believe that my saulmate is out there  in the universe, praying 🙏 that God may keep you safe wherever you are 🧡', 'Congratulations on your successes Whoohoo! 👏', 'Wow I’m speechless 😅', 'Wouahou ❤ fantastic ❤ bless you all . I happily cried actually… this is real LIFE and LOVE … and Gratitude 🙏', 'This is such a beautiful story. I just got out of an abusive relationship I poured my heart into and I refuse to stop believing in the love I am worthy of. Thank you for reaffirming this by sharing your experience. You are an amazing soul. I pray for everyone’s healing, and I pray that you stumble on love ❤', '♥♥♥♥', 'What an inspiration!! Thank you Angela & Matt!!❤']"
8,10CsOVtc0EE,"['Hi Matt, I’m a newbie to your podcasts. You are an inspiration to me to become a better man. I find your podcasts very therapeutic & I relate to a lot of your experiences.\nKeep up your amazing energy & work towards self improvement..', 'Hi Matt, I’m a newbie to your podcasts. You are an inspiration to me to become a better man. I find your podcasts very therapeutic & I relate to a lot of your experiences.\nKeep up your amazing energy & work towards self improvement..', 'Hello', 'Matthew, can you talk a little more about how a boundary is between you and you? Not quite clear on that..', 'Your 3 hour Saturday event is inspiring to me & helps me to change my self sabotage patterns behavior.', 'Hi mathew, can you please address the circulating idea about women having to ""become less manly"" in order to make men comfortable. 🙏🙏\nI believe that people, regardless of their gender have both feminine and masculine sides to them that manifest differently and in different proportions. \nAs a woman with the masculine trait of being argumentative and opinionated (in a good way i hope), i hate the idea of having to bend my mind and to keep trying to find ways to agree with a man like i am talking to a baby.\nI think it is totally legitimate to ask women to try exploring their feminine side, it is healthy and expanding for the mind. BUT REPRESSING their masculine side, i think, is like asking an elephant to fit into a fridge.', ""Hi Matthew hussey 😘, I have been following your advice (can't do all ..rightly) but I think it's working on me... I could walk away when he wasn't respecting the boundaries although I know both we have feelings for each other even though I moved out from that trauma bond! 😐 going through heartbreak but I feel strong enough to stand up again. But really bad thing is happening in me I am starting to hate men lol or trusting any new man again or dating again very soon. Still want to stay positive working on my growth... starting by reading your book 😍 (it's on the way..) 🎉 and hoping to be motivated and date again.. 😇😉. Love all of you say.. ! Regards to you and your wife Audrey Hussey..❤❤"", ""You look so good as usual...😘😘 your book is on the way to my home ...can't wait to read that...🎉❤"", 'Loving  the hair', 'See you all tomorrow ❤️❤️🙏']"
9,RpXzWZIZA-s,"['Love these two lights in the world. Shout out to Audrey. Long live Love! ❤', 'Seriously, write a book with Jameson 😂', ""I'd love a one on one with you Matthew"", ""I'll have that One as soon as I get a passport 😂"", ""You didn't move"", 'Write the next one with Steven!', 'Pinky &, perky', '❤', 'Lemsip for you Matthew', 'Well you are legal']"
