,VideoID,Date/Time,Title,Description,Tags,Duration,Definition,Caption,Views,Likes,Comments
0,uxML_ubB-qc,2024-05-22T13:00:54Z,Unavailability Doesn’t Always Mean She’s Worth Pursuing! #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

Watch the Full Video Here: https://youtu.be/2ejmRUWy1ZY?si=yHfXQL_0BPFMvbmn

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips', 'dating tips for men', 'dating coach', 'dating coach for men', 'youtube shorts video', 'shorts youtube', 'dating advice', 'relationship advice', 'relationships', 'dating for men', 'date tips', 'love advice', 'unavailable women', 'trending', 'Apollonia Ponti', 'relationship coach for men', 'relationship coach', 'relationship advice for men', 'relationship tips', 'relationship tips for men']",PT32S,hd,false,82,14,0
1,5Y0nNvCkSrI,2024-05-20T13:00:08Z,The #1 Trap You Fall Into When Seeking Validation In Women #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

Watch the Full Video Here: https://youtu.be/2ejmRUWy1ZY?si=yHfXQL_0BPFMvbmn

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips', 'dating tips for men', 'dating coach', 'dating coach for men', 'dating advice', 'dating advice for men', 'relationships', 'relationship coach', 'Relationship coach for men', 'relationship tips', 'relationship advice', 'shorts youtube', 'youtube shorts video', 'shorts feed', 'youtube shorts feed', 'Apollonia Ponti', 'seeking validation', 'how to be more secure in yourself']",PT42S,hd,false,2181,95,3
2,UzmqwtC4TU8,2024-05-19T13:00:18Z,The Difference Between High Quality and Emotionally Unavailable Partners #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1

TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation

Watch the Full Video Here: https://youtu.be/2ejmRUWy1ZY?si=yHfXQL_0BPFMvbmn

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

© Apollonia Ponti. All rights reserved.

#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips', 'dating tips for men', 'dating coach for men', 'dating coach', 'relationship tips', 'relationship tips for men', 'relationship advice', 'relationship advice for men', 'emotionally unavailable men', 'dating advice', 'relationship coach', 'psychology', 'emotionally unavailable', 'emotionally unavailable women', 'high quality', 'high quality women', 'dating advice for men', 'high quality woman', 'Apollonia Ponti']",PT39S,hd,false,2515,107,3
3,ojDaIZLIcz0,2024-05-18T13:00:46Z,Who Pays On The First Date? Watch This!,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1


TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation


CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________


© Apollonia Ponti. All rights reserved.


#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips', 'dating tips for men', 'dating coach for men', 'dating advice for men', 'who pays on the first date', 'first date', 'dating advice', 'who pays on the first date around the world', 'who should pay on the first date', 'first dates', 'should men pay for dates', 'dating coach', 'online dating', 'dating expert', 'relationship expert', 'relationship advice', 'relationship coach', 'how to date better', 'Apollonia Ponti']",PT31S,hd,false,834,54,1
4,ybWnOmrEGN8,2024-05-15T16:00:55Z,Men With Broken Relationship With Their Mother! (This BROKE Me),"* 7-DAY FREE TRIAL ( APOLLONIA'S MEN""S MASTERY VIP MEMBERSHIP) 
https://membership.apolloniaponti.com/checkouts/membership-quarterly-7-day-free-trial/

The mother wound plays so vital for a man without a great mother figure or a man who has had to be responsible for his mother's emotions. This is a different style video, totally unplanned, to help men understand that they do not have to be a byproduct of their generational trauma. 

Subscribe Here: https://www.youtube.com/c/ApolloniaPonti?sub_confirmation=1 

GET IN TOUCH WITH APOLLONIA (website): www.apolloniaponti.com 
________

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

Say ""hi"" on social: 
Instagram: https://www.instagram.com/apollonia_ponti/
Facebook: https://www.facebook.com/apollonialovecoach

Listen to the Elevated Man Podcast: 
https://podfollow.com/the-elevated-man

[CONTACT ME] **PLEASE SEE NOTE BELOW 

Apollonia Ponti is the top leading female dating coaching with over 8 years of experience working with men directly. She is the #1 leading dating and relationship coach for men that with hundreds of proven testimonials. She has worked with over 5,000 men. Apollonia Ponti is going to help you attract women, talk to women, date women, seduce women, get the woman you want, become more confident, help you pick the right woman, how to flirt, and most importantly, attract high-quality women to have a healthy relationship with the woman you've always wanted. 

Text Me @ +1 (305) 590-5527

Media, coaching questions, video testimonials, and interviews: team@apolloniaponti.com

© Apollonia Ponti. All rights reserved.","['dating advice for men', 'trauma', 'mother wound', 'mother wound in men', 'mother wound healing', 'life coach for men', 'relationship tips for men', 'relationship coach for men', 'apollonia ponti', 'personal development', 'relationship advice', 'relationship', 'dating advice from guys', 'break up', 'love advice', 'trauma bonding', 'generational trauma', 'karmic relationship', 'love']",PT14M27S,hd,false,1922,162,58
5,ajIQ5KngR50,2024-05-15T13:00:05Z,The Truth On How To Make A Woman Miss You #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1


TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation


Watch the Full Video Here: https://youtu.be/NJU3rWSAWAQ


CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________


© Apollonia Ponti. All rights reserved.


#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips for men', 'dating advice', 'relationship advice', 'dating advice for men', 'dating coach', 'dating tips', 'how to get a girlfriend', 'relationships', 'date tips', 'dating coach for men', 'love advice', 'what men want', 'single women', 'make her miss you', 'how to make a woman miss you', 'how to make her miss you', 'how to make a woman miss you badly', 'how to make a woman miss you so badly', 'make any woman miss you', 'Apollonia Ponti']",PT1M,hd,false,3893,233,7
6,oFWA_RZVw_8,2024-05-13T13:00:46Z,The #1 Quality All Women LOVE #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1


TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation


Watch the Full Video Here: https://youtu.be/NJU3rWSAWAQ


CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________


© Apollonia Ponti. All rights reserved.


#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips', 'dating tips for men', 'dating coach', 'dating coach for men', 'dating advice', 'dating advice for men', 'online dating', 'dating expert', 'relationship expert', 'relationship coach', 'female dating coach', 'dating help', 'relationships', 'relationship tips', 'best dating advice', 'Apollonia Ponti', 'what women love', 'what women want']",PT1M,hd,false,5081,339,12
7,v7WlBN9dxfs,2024-05-12T13:00:50Z,Is The Girl You're Dating Always Late? Watch This! #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1



TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation


CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________


© Apollonia Ponti. All rights reserved.


#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips', 'dating tips for men', 'dating advice for men', 'dating coach', 'dating coach for men', 'relationship coach', 'relationship coach for men', 'relationship advice for men', 'relationship advice', 'relationships', 'youtube shorts video', 'trending shorts', 'Apollonia Ponti', 'dating advice', 'dating expert', 'life coach', 'relationship expert', 'understand men', 'female dating coach']",PT36S,hd,false,2587,99,4
8,NVs-UlITUQY,2024-05-11T13:00:19Z,Do You Need A Social Media Detox? #shorts,"Subscribe Here: https://www.youtube.com/c/ApolloniaPontisub_confirmation=1



TRANSFORMATIONAL ATTRACTION COACHING (BOOK A FREE DATING EVALUATION)  https://www.apolloniaponti.co/aoa-presentation


CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________


© Apollonia Ponti. All rights reserved.


#datingadviceformen #love #shorts #dating","['shorts', 'shorts video', 'youtube shorts', 'dating', 'dating tips', 'dating tips for men', 'dating advice', 'dating advice for men', 'social media', 'social media detox', 'social media detox tips', 'social media detox benefits', 'social media addiction', 'social media detox challenge', 'deleting social media', 'quit social media', 'quitting social media', 'dating coach', 'love advice', 'relationship advice', 'relationships', 'relationship coach', 'Apollonia Ponti']",PT57S,hd,false,1760,87,4
9,jYEel3Qt_kc,2024-05-10T15:53:18Z,Why Successful Men Struggle to Attract The Woman They REALLY Want! (NO One Talks About This),"(BOOK A FREE DATING EVALUATION HERE) 3 MONTH ATTRACTION COACHING w/Apollonia:   https://www.apolloniaponti.co/aoa-presentation

Calling all successful men who are tired of not finding the right woman! In this revealing video, discover the common pitfalls that successful men face in attracting their ideal partner. Learn why being a chooser is key to finding the woman you truly desire. Hit subscribe to stay updated on relationship tips and dating advice!

Subscribe Here: https://www.youtube.com/c/ApolloniaPonti?sub_confirmation=1 

GET IN TOUCH WITH APOLLONIA (website): www.apolloniaponti.com 

Watch Next Videos:
You Must Do This If You Want To EMOTIONALLY DETACH From A Woman!: https://youtu.be/Hsazpez9FOY?si=sjA2QfIhbrcGDm1Y

Stop Mistaking A Woman's Unavailability For High-Quality - Watch This!
https://youtu.be/2ejmRUWy1ZY?si=TnCZq0xA2pP22Vgy

Make Her Think Of You 24/7 With These Non-Creepy Phrases! (5 Phrases INCLUDED)
https://youtu.be/Lz4_XZJXSls?si=YuSgRZB6fxKDUt5J

________

CHECKOUT CLIENT SUCCESS STORIES HERE 🥳: 
https://www.apolloniaponti.co/apollonia-testimonials
________

Say ""hi"" on social: 
Instagram: https://www.instagram.com/apollonia_ponti/
Facebook: https://www.facebook.com/apollonialovecoach

Listen to the Elevated Man Podcast: 
https://podfollow.com/the-elevated-man

[CONTACT ME] **PLEASE SEE NOTE BELOW 

Apollonia Ponti is the top leading female dating coaching with over 8 years of experience working with men directly. She is the #1 leading dating and relationship coach for men that with hundreds of proven testimonials. She has worked with over 5,000 men. Apollonia Ponti is going to help you attract women, talk to women, date women, seduce women, get the woman you want, become more confident, help you pick the right woman, how to flirt, and most importantly, attract high-quality women to have a healthy relationship with the woman you've always wanted. 

Text Me @ +1 (305) 590-5527

Media, coaching questions, video testimonials, and interviews: team@apolloniaponti.com

© Apollonia Ponti. All rights reserved.","['dating advice', 'dating', 'dating tips', 'how to get a girlfriend', 'relationships', 'dating advice for men', 'how to get a girl to like you', 'dating coach', 'how to get girls', 'dating expert', 'relationship expert', 'why do relationships fail', 'why do my relationships fail', 'successful men', 'successful man habits', 'dating as a successful man', 'men attracting women', 'men attracted to women', 'apollonia ponti', 'how to get a girl you like', 'how to flirt with women', 'modern dating']",PT15M49S,hd,false,3607,203,84
