,VideoID,Date/Time,Title,Description,Tags,Duration,Definition,Caption,Views,Likes,Comments
0,RrPr01GhQhE,2024-05-23T16:00:33Z,How to Find Love Without Being Perfectly Happy,"I'm not a big believer in the idea that you need to be happy first before you find a relationship.

It's not that the sentiment is a bad one, but telling someone who's facing challenges in life that they now also have to achieve this elusive feeling of happiness before they can be with someone seems highly unproductive to me.

I'm here to tell you that you don’t need to be perfectly happy before you find a relationship . . .

You just need to be ""happy enough.""

I love this concept, and I think it’s something that can serve us in any area of our lives.

P.S. If this speaks to you and you want to spend 6 days with me creating the conditions for your own happiness, my In-Person Retreat is coming up this September 9-15 in Florida. Just head to MHRetreat.com to learn more.","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT1M,hd,false,20175,2162,25
1,3HFxq-OJoLs,2024-05-22T16:00:05Z,"Get Over ""the One That Got Away""","►► Get Vulnerable Stories, Real Insights, and Practical Tools Delivered Straight to Your Inbox Every Friday. 
Sign up Now For My Free Weekly Newsletter, The 3 Relationships at . . .
→ http://www.The3Relationships.com

▼
Don’t Miss Out! Subscribe to my YouTube channel now.
I post new love life advice for you every weekend.

►► Order My New Book, ""Love Life"" at → http://www.LoveLifeBook.com

►► FREE Video Training: “Dating With Results” → http://www.DatingWithResults.com


▼ Get My Latest Dating Tips and Connect With Me… ▼

Blog → https://www.matthewhussey.com/blog/

Facebook → https://facebook.com/CoachMatthewHussey

Instagram → https://www.instagram.com/thematthewhussey

Twitter → https://twitter.com/matthewhussey

▼ Connect with Audrey ▼

Instagram → https://bit.ly/AudreyHusseyIG","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT38M30S,hd,false,31453,1278,119
2,L5l_X4TXrZ8,2024-05-19T11:45:01Z,"How To AVOID Dating ""Players""","►► Get Vulnerable Stories, Real Insights, and Practical Tools Delivered Straight to Your Inbox Every Friday. 
Sign up Now For My Free Weekly Newsletter, The 3 Relationships at . . .
→ http://www.The3Relationships.com

▼
Don’t Miss Out! Subscribe to my YouTube channel now.
I post new love life advice for you every weekend.

▼
Most people want to avoid players in dating . . . yet why do so many end up in relationships (or situationships) with them? 

Sadly, it’s all too common to get seduced into a roller coaster romance where we feel amazing chemistry but never know where we stand with someone.

Today I’m giving you the best advice I’ve given on this topic through 7 clips that will help you avoid players and find the right person. If you’re ready to rewire your brain and start attracting someone who says “yes” to a relationship, this is for you.

►► Order My New Book, ""Love Life"" at → http://www.LoveLifeBook.com

►► FREE Video Training: “Dating With Results” → http://www.DatingWithResults.com


▼ Get My Latest Dating Tips and Connect With Me… ▼

Blog → https://www.matthewhussey.com/blog/

Facebook → https://facebook.com/CoachMatthewHussey

Instagram → https://www.instagram.com/thematthewhussey

Twitter → https://twitter.com/matthewhussey

▼ Chapters ▼
0:00 – 2:39 – Wrapped Up in Chemistry 
2:39 – 5:35 – “It Feels Like the Holy Grail”
5:35 – 8:33 – Where We Get in Trouble (Feat. Ali Abdaal)
8:33 – 10:40 – The Qualities That Need to Show Up
10:40 – 14:07 – Is It Really an Amazing Connection?
14:07 – 15:08 – It’s Not a Competition
15:08 – 19:52 – Do We Have a Type? (Feat. Marie Forleo)

▼ Connect with Ali Abdaal ▼

Website → https://aliabdaal.com

Instagram → https://www.instagram.com/aliabdaal/

Youtube → @aliabdaal 

▼ Connect with Marie Forleo ▼

Website → https://www.marieforleo.com

Instagram → https://www.instagram.com/marieforleo/

Youtube → @marieforleo","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT19M53S,hd,false,29445,1012,67
3,JgKATVJUY7A,2024-05-15T17:34:12Z,Stop These Insecure Dating Behaviors! - w/ Sabrina Zohar,"►► Get Vulnerable Stories, Real Insights, and Practical Tools Delivered Straight to Your Inbox Every Friday. 
Sign up Now For My Free Weekly Newsletter, The 3 Relationships at . . .
→ http://www.The3Relationships.com

▼
Don’t Miss Out! Subscribe to my YouTube channel now.
I post new love life advice for you every weekend.


►► Order My New Book, ""Love Life"" at → http://www.LoveLifeBook.com

►► FREE Video Training: “Dating With Results” → http://www.DatingWithResults.com


▼ Get My Latest Dating Tips and Connect With Me… ▼

Blog → https://www.matthewhussey.com/blog/

Facebook → https://facebook.com/CoachMatthewHussey

Instagram → https://www.instagram.com/thematthewhussey

Twitter → https://twitter.com/matthewhussey

▼ Connect with Sabrina ▼

Website → https://www.sabrinazohar.com

TikTok → https://www.tiktok.com/@sabrina.zohar

Instagram → https://www.instagram.com/sabrina.zohar/

Youtube → @Do.the.work.podcast","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT54M46S,hd,false,21209,747,37
4,ZQ13ZgSJwic,2024-05-15T15:00:36Z,"The Problem With Pretending We're ""Fine""","The toll pretending “we’re fine” takes on us can be profound, because internally, it only prolongs the pain that nobody else sees. 

Sure the world might see us as strong and resilient, but in an attempt to keep up appearances, we mask our authentic experience of life, which only disconnects us further from it. 

True growth can't begin until we have the courage to accept where we are, right now—acknowledging our truths, facing our fears, and embracing our vulnerabilities. 

Getting people to this place of radical acceptance is the starting point of my Retreat program. Over 6 immersive days, we create a safe environment to confront those truths, shed the weight of pretense, and heal.

So if 2024 is the year you want to confront life's complexities head-on, with courage and self-compassion, this is your invitation. Come join me. Apply now at MHRetreat.com","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT1M,hd,false,24941,1773,22
5,nHqyyt66dQk,2024-05-12T12:05:06Z,THIS Is the Most Dangerous Moment in Dating... Here's Why,"►► Get Vulnerable Stories, Real Insights and Practical Tools Delivered Straight to Your Inbox Every Friday.
Sign Up Now For My Weekly Newsletter, The 3 Relationships.com
→ http://www.The3Relationships.com

▼
Don’t Miss Out! Subscribe to my YouTube channel now.
I post new love life advice for you every weekend.


►► Pre-Order My New Book, ""Love Life"" at → http://www.LoveLifeBook.com

►► FREE Video Training: “Dating With Results” → http://www.DatingWithResults.com


▼ Get My Latest Dating Tips and Connect With Me… ▼

Blog → https://www.matthewhussey.com/blog/

Facebook → https://facebook.com/CoachMatthewHussey

Instagram → https://www.instagram.com/thematthewhussey

Twitter → https://twitter.com/matthewhussey

▼ Chapters ▼

0:00 – 0:26 – Introduction
0:26 – 2:02 – A Scarcity Mindset
2:02 – 3:11 – THIS Is What Makes Us Stand Out in Dating
3:11 – 4:23 – The Anxious Person’s “Fawn Response”
4:23 – 5:43 – How an Avoidant Person Reacts  
5:43 – 7:05 – How an Anxious Person Responds
7:05 – 9:30 – The Secure Person’s Response
9:30 – 10:04 – The Person Who Wants an Anxious Fawner
10:04 – 11:12 – How About You?
11:12 – 12:49 – The 3 Relationships","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT12M50S,hd,false,67590,2687,204
6,l_Cjd2ya5R0,2024-05-11T15:00:42Z,Attracted to the Wrong People?,"Why is it that we're drawn to people who treat us poorly? It's a complex issue with countless reasons. Yet there's one reason in particular that goes to the core of why so many people struggle with this, and it's ""familiarity.""

The truth is, there's something strangely familiar about these individuals and their behavior. It might be traced back to our childhood, how our caregivers treated us, or even the experiences that have silently shaped our perception of love.

If this resonates with you, please give yourself some compassion, because it's not your fault. Many of us developed these responses when survival instincts, not conscious choices, dictated our actions.

Thank you, @lewishowes for having me on your show! You can see the full podcast on his channel.

#MatthewHussey #RelationshipAdvice #DatingAdvice","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt', 'lewis howes']",PT59S,hd,false,74740,5294,82
7,rMSIPaN25vI,2024-05-10T15:00:52Z,Feeling Guilty After a Breakup? Watch This,"I believe many of you will relate to this . . . You break up with someone or tell them after a couple of dates that you don't feel you'd be a good fit. And then, guilt creeps in. And even though you know you did the right thing, the pain seems to become unbearable. Why is that? Well, maybe this is what your guilt actually means 👆 

Thank you, @ChrisWillx  for having me!","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT1M,hd,false,45769,3021,43
8,v-7h8fxhTFQ,2024-05-09T15:00:48Z,Building A HEALTHY RELATIONSHIP Starts With Us,"What does a healthy relationship actually look like? 

It takes two people, each with a strong sense of self-worth and intrinsic value, who desire to build something together. This special alchemy results in a 1 + 1 = 3 equation, where they bring out the best in each other—benefiting themselves individually as well as the relationship as a whole.

P.S. If you're in a place where you know you need to start building your own value, my next In-Person Retreat in Florida is taking place this September 9 - 15. Head over to MHRetreat.com to learn more about this immersive 6-day process where, together, we'll transform your self-worth and design your best life, regardless of your relationship status.

#Shorts #MatthewHussey #RelationshipAdvice","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT36S,hd,false,47879,3800,34
9,Xvk_v7uYgPw,2024-05-05T11:45:01Z,Afraid You'll Never Find Love? You NEED to Hear THIS,"►► Transform Your Relationship with Life in 6 Magical Days.
Learn More About My Retreat at. . . 
→ http://www.MHRetreat.com

▼
Don’t Miss Out! Subscribe to my YouTube channel now.
I post new love life advice for you every weekend.

▼
Over the past week, so many of you have expressed how much Angela’s story in my new book, Love Life, touched you deeply (in the chapter titled “Have Hard Conversations”). So this week I thought I’d share the actual interview with her from my Live Retreat.

I’ve found that one of the biggest confidence-killers in dating happens when we dwell on the reasons why someone may not be attracted to us. Our looks, our age, our past, even the fact that we have kids—the fear of rejection for who we are can stop us before we get started.
 
Angela’s story is one of the most impactful I’ve heard on confidence and insecurity, and I think you’ll love hearing it in her own words.


►► Order My New Book, ""Love Life"" at → http://www.LoveLifeBook.com

►► FREE Video Training: “Dating With Results” → http://www.DatingWithResults.com


▼ Get My Latest Dating Tips and Connect With Me… ▼

Blog → https://www.matthewhussey.com/blog/

Facebook → https://facebook.com/CoachMatthewHussey

Instagram → https://www.instagram.com/thematthewhussey

Twitter → https://twitter.com/matthewhussey

▼ Chapters ▼
0:00 – 1:54 – A Massive Thank You
1:54 – 6:56 – “My Self-Worth Was on the Ground”
6:56 – 10:22 – “And What . . . ?”
10:22 – 18:38 – The Phone Call
18:38 – 21:18 – “What Was Holding Me Back”
21:18 – 25:37 – “It Was Life-Changing”
25:37 – 27:29 – Don’t Miss the Live Retreat","['Matthew Hussey', 'Matt Hussey', 'Get The Guy', 'How to Get the Guy', 'Dating Advice for Women', 'attract men', 'keep your man', 'dating coach', 'relationship coach', 'relationship tips', 'what men want', 'make him like you', 'make him love you', 'how to talk to men', 'how to attract men', 'meet men', 'get the guy', 'tips for women', 'flirting tips', 'texting', 'calling', 'love advice', 'relationships', 'matt hussey', 'matthew hussy', 'mathew hussey', 'how to flirt']",PT27M47S,hd,false,54154,2123,152
